Brand,Model/Motherboard,Boots Legacy TempleOS ISO,Boots Legacy TinkerOS ISO,Boots TinkerOS MemDisk/USB image to RamDisk,Number of CPU cores detected / actual number of cores,Number of PS/2 ports,PS/2 emulation USB keyboard,PS/2 emulation USB mouse,Laptop Keyboard,PS/2 emulation Trackpad (laptops),IDE or BIOS support for IDE/ATA/Legacy mode for SATA,PC Speaker works,PC Speaker sound routed thru on-board audio 3.5mm jack,Intel HD Audio driver works,Successful hard drive install/boot of TempleOS,Successful hard drive install/boot of TinkerOS,TinkerOS OS test suite finished w/o crash,Comments
Dell,Optiplex 380,Y,Y,Y,4/4,2 (with adapter),Y,N,NA,NA,Y,Y,-,-,Y,Y,Y,Great cheap TempleOS/TinkerOS machine                                                                                                                                         
Dell,Optiplex 755,Y,Y,Y,4/4,2 (with adapter),Y,N,NA,NA,Y,Y,-,N,Y,Y,Y,Great cheap TempleOS/TinkerOS machine                                                                                                                                         
Dell,Optiplex 7010,Y,Y,Y,4/4,2,Y,-,NA,NA,Y,Y,-,Y,Y,Y,Y,"Works with Terry’s Intel HD audio driver, great compatibility"
Dell,Optiplex 9020,Y,Y,Y,8/8,2,Y,N,NA,NA,Y,Y,-,Y,-,-,-,"Works with Terry’s Intel HD audio driver, great compatibility"
Dell,Optiplex GX620,Y,Y,Y,2/2,0,Y,N,NA,NA,Y,Y,-,N,Y,Y,Y,
Dell,Precision T7400,Y,Y,Y,8/8,2,Y,Y,NA,NA,Y,Y,-,-,-,Y,Y,
HP,T610 thin client,Y,Y,Y,2/2,2,Y,Y,NA,NA,Y,Y,-,N,-,-,Y,
HP,T620 thin client,Y,Y,Y,4/4,2,Y,N,NA,NA,Y,Y,-,N,-,-,-,
Dell,Latitude 5480,-,-,Y,8/8,0,Y,Y,Y,Y,Y,Y,-,-,-,-,-,
Lenovo,Ideapad Y560D,Y,Y,Y,8/8,0,Y,N,Y,N,Y,Y,-,Y,Y,Y,Y,
Dell,Latitude D630,Y,Y,Y,2/2,"0, 2 with dock",Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,
HP,Pavilion DV8000,-,-,Y,1/1,0,-,-,N,N,Y,-,-,-,-,-,NA,"Takes a very long time to boot, USB transfer speed must be very slow copying initial ramdisk."
,,,,,,,,,,,,,,,`,,,
